atomic_ea_max,atomic_en_allredroch_sum,atomic_en_sanderson_max,atomic_hfu_max,atomic_radius_max,atomic_radius_calculated_max,atomic_radius_calculated_sum,atomic_spacegroupnum_mean,bulk_mod_max,covalent_rad_emp_max,covalent_rad_emp_sum,density_of_solid_max,electrical_resist_max,rigidity_mod_max,van_der_waals_rad_mean,entalpia_oxides_min,entropia_oxides_min,deltaCp_oxides_max,oxidation_sum,Z_max,Z_sum,phase_disambiguated
12.5,1.15375,0.225,6.375,46.25,52.0,157.75,39.575,27.5,37.5,94.75,3327.5,18.5,8.25,53.375,-476324.6125,-74.503,4.5095,3.625,18.0,56.125,fluorite
10.0,1.14,0.18,5.100000000000001,37.0,44.40000000000001,169.6,40.04000000000001,22.0,32.4,92.0,2662.0,14.8,6.600000000000001,53.67999999999999,-762119.38,-119.2048,7.2152,3.5,14.4,55.8,fluorite
12.5,1.15125,0.225,6.375,46.25,52.0,154.25,39.575,27.5,37.5,116.5,3327.5,18.5,8.25,53.075,-476324.6125,-74.503,1.589125,3.5,18.0,49.875,fluorite
12.5,1.16,0.225,6.375,46.25,52.0,159.125,38.8,27.5,37.5,94.75,3327.5,18.5,8.25,53.5,-476324.6125,-74.503,1.589125,3.625,18.0,55.375,fluorite
10.0,1.15,0.18,5.100000000000001,37.0,46.6,171.8,38.8,22.0,32.4,92.0,2662.0,26.2,6.600000000000001,53.88,-762119.38,-119.2048,2.5426,3.5,14.4,54.59999999999999,fluorite
12.5,1.15375,0.225,6.375,46.25,52.0,160.375,39.575,27.5,37.5,74.5,3327.5,18.5,8.25,53.475,-454912.9875,-73.501625,4.5095,3.625,18.0,59.25,fluorite
10.0,1.14,0.18,5.100000000000001,37.0,46.6,173.8,40.04000000000001,22.0,30.0,59.6,2662.0,26.2,6.600000000000001,53.84,-727860.78,-117.6026,7.2152,3.5,14.4,60.8,fluorite
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
24.0,1.384,0.256,3.1,97.5,16.1,76.30000000000001,34.33333333333334,18.0,84.5,149.4,3073.0,30.75,8.200000000000001,44.95,-1793682.4,-293.9765,10.684,2.833333333333333,28.5,42.0,perovskite
28.33475,1.51565,1.140057,7.133689999999999,83.33749999999999,78.6706,128.829,36.72933333333333,50.6692,78.6706,122.2924,1800.09,9.6048,17.3342,38.49688333333333,-2234411.18164,-417.8455579,1.5322991,2.855512230887156,8.665366926614677,16.73445310937812,spinel
22.4,1.67,0.512,3.44,28.0,32.2,152.0,42.36000000000001,36.0,27.8,128.4,1781.6,28.8,16.4,48.32000000000001,-380885.64,-109.7254,4.8186,2.666666666666667,6.0,27.2,spinel
18.6704,1.553644,0.426752,2.86724,24.1715,27.8389,154.5309,35.78493333333333,30.006,23.1713,129.3592,1484.9636,24.0048,13.6694,39.45233333333332,-317468.18094,-91.4561209,4.0163031,2.388888888888888,5.0,23.16666666666666,spinel
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32000000000001,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
14.34426,1.191622,0.36652,4.46488,35.8405,42.17509999999999,200.1708,36.63878333333333,28.322,33.0066,162.6716,1427.762,23.9904,7.3348,44.33384999999999,-632919.69748,-149.3290778,3.8273018,3.221933333333333,9.3352,33.6668,perovskite
19.73728,1.651997,0.426752,3.41735,23.338,27.6722,153.6974,35.78493333333333,30.006,23.1713,131.0262,1486.964,24.0048,19.1705,40.31361666666666,-375759.9536299999,-91.4561209,11.9875637,2.972222222222222,5.0,26.83333333333333,spinel
23.68,1.588,0.512,3.24,30.0,32.2,149.0,40.96000000000001,36.0,27.8,132.8,1784.0,28.8,15.0,48.52,-380885.64,-102.2912,4.5946,2.566666666666666,6.0,24.6,spinel
17.22,1.266,0.284,7.2,31.0,41.6,197.6,41.60000000000001,40.0,30.0,141.8,3330.0,8.66,13.8,50.56,-818382.16,-180.9412,4.4964,4.4,14.6,49.6,multiphase
22.4,1.612,0.512,4.56,28.0,34.2,159.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.48,-620230.42,-175.9482,14.3822,3.666666666666667,5.600000000000001,25.40000000000001,spinel
24.0,1.291,0.262,3.18,97.5,20.8,86.0,31.96666666666667,14.0,84.5,154.2,3073.0,5000.0,7.0,45.2,-1793682.4,-293.9765,10.684,2.833333333333333,28.5,50.10000000000001,pyrochlore
22.4,1.642,0.446,4.100000000000001,28.0,33.2,154.8,43.76000000000001,36.0,27.8,128.6,1781.6,28.8,23.0,48.52,-450821.78,-109.7254,14.3822,3.066666666666666,6.0,26.6,spinel
12.86,1.632,0.512,4.100000000000001,28.0,33.2,155.4,42.52,36.0,27.8,129.6,1780.0,28.8,23.0,48.52,-450821.78,-109.7254,14.3822,3.166666666666667,6.0,26.4,spinel
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
21.23121,1.658495,0.853248,5.399459999999999,44.9955,50.6616,156.016,42.93803999999999,59.994,41.9958,127.3462,2966.37,24.0048,24.9975,48.47156,-375759.9536299999,-128.6468007,11.9875637,3.05561110555611,8.998200179982002,26.16658334166583,spinel
27.30182,1.664615,1.097216,6.943319999999999,57.861,65.1472,155.46,42.35168,77.148,54.0036,127.1684,3814.54,20.5776,32.145,48.40971999999999,-390043.52974,-165.4305994,10.2760819,2.97623808571619,11.56988602279544,26.28564287142571,spinel
31.85,1.66875,1.28,8.1,67.5,76.0,155.0,41.9,90.0,63.0,127.0,4450.0,18.0,37.5,48.35,-455020.45,-192.9895,8.988875,2.916666666666667,13.5,26.375,spinel
10.61879,1.525305,0.426752,3.11729,25.005,29.3392,155.3644,33.95123333333333,30.006,23.1713,131.1929,1483.63,24.0048,13.6694,40.70258333333333,-317468.18094,-91.4561209,4.0163031,2.888888888888889,5.0,23.66666666666666,spinel
10.0,1.142,0.18,5.100000000000001,37.0,49.40000000000001,178.8,38.8,22.0,30.0,59.6,2662.0,26.2,6.600000000000001,54.56,-727860.78,-119.8624,7.6494,3.500000000000001,14.4,58.60000000000001,fluorite
12.86,1.546,0.512,4.100000000000001,30.0,33.2,156.0,42.52,36.0,27.8,129.4,1780.0,28.8,23.0,49.0,-450821.78,-109.7254,14.3822,3.166666666666667,5.4,22.8,spinel
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32000000000001,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
10.0,1.118,0.18,4.2,37.0,47.6,177.8,37.68000000000001,8.200000000000001,32.4,62.0,1580.2,26.2,6.600000000000001,55.24000000000001,-762119.38,-119.2048,5.7538,3.300000000000001,12.8,52.60000000000001,fluorite
20.55,1.154,0.45,10.5,77.5,103.0,191.9,31.86666666666667,4.100000000000001,74.0,107.1,3255.5,21.65,16.5,44.9,-548729.9,-96.7685,2.8769,3.5,20.0,48.2,pyrochlore
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
20.55,1.154,0.45,10.5,77.5,103.0,191.9,31.86666666666667,4.100000000000001,74.0,107.1,3255.5,21.65,16.5,44.9,-548729.9,-96.7685,2.8769,3.5,20.0,48.2,pyrochlore
9.12,1.228,0.545,9.35,70.0,88.0,187.9,31.5,55.0,68.0,154.4,2253.5,20.0,22.0,38.81666666666667,-472374.45,-92.6665,3.6542,3.0,11.0,31.8,perovskite
5.960000000000001,1.165,0.545,9.35,70.0,88.0,171.3,34.53333333333333,55.0,68.0,154.7,2253.5,20.0,22.0,43.15,-472374.45,-92.6665,2.1368,3.0,11.0,28.4,perovskite
22.4,1.67,0.512,3.44,28.0,32.2,152.0,42.36,36.0,27.8,128.4,1781.6,28.8,16.4,48.32000000000001,-380885.64,-109.7254,4.8186,2.666666666666667,6.0,27.2,spinel
12.86,1.632,0.512,4.100000000000001,28.0,33.2,155.4,42.52,36.0,27.8,129.6,1780.0,28.8,23.0,48.52,-450821.78,-109.7254,14.3822,3.166666666666667,6.0,26.4,spinel
25.0,1.08,0.08125,2.75,92.5,27.75,80.0,39.575,11.0,21.125,41.375,3344.5,37.0,7.0,57.35,-544961.1,-106.0585,4.5095,3.25,29.0,57.25,fluorite
25.0,1.08375,0.08125,2.75,92.5,28.5,82.75,39.575,11.0,21.125,41.375,3344.5,37.0,7.0,57.0,-544961.1,-106.0585,4.5095,3.25,29.0,58.0,fluorite
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
27.30182,1.694624,1.097216,6.943319999999999,57.861,65.1472,150.4585,41.23706,77.148,54.0036,129.5977,3814.54,20.5776,32.145,48.06676,-390043.52974,-165.4305994,3.2828417,2.547623808571619,11.56988602279544,27.57148570285943,spinel
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
20.55,1.151,0.45,10.5,77.5,103.0,170.7,31.86666666666667,3.8,74.0,90.9,3255.5,21.65,16.5,45.11666666666667,-548729.9,-96.7685,2.8769,3.55,20.0,50.1,pyrochlore
23.68,1.66,0.4400000000000001,4.100000000000001,28.0,33.2,155.4,45.00000000000001,36.0,27.8,130.0,1784.0,28.8,23.0,48.48,-450821.78,-109.7254,14.3822,3.066666666666666,5.800000000000001,26.4,spinel
12.5,1.15125,0.225,6.375,46.25,52.0,156.875,39.575,27.5,37.5,96.25,3327.5,18.5,8.25,53.175,-454912.9875,-71.733875,1.331775,3.5,18.0,53.0,fluorite
12.5,1.18625,0.225,6.375,46.25,52.0,154.625,38.8,27.5,37.5,91.5,3327.5,18.5,8.25,52.775,-454912.9875,-71.733875,1.331775,3.75,18.0,53.25,fluorite
16.7,1.23875,0.2675,6.375,46.25,52.0,146.5,39.625,27.5,37.5,88.375,3327.5,12500.0,8.25,52.1,-454912.9875,-71.733875,1.331775,3.25,18.0,52.25,fluorite
52.2704,1.683175,0.905398,8.027239999999999,63.0045,69.5383,154.1838,44.16904,84.006,56.4707,125.3868,4157.3636,19.1952,35.4692,48.36844,-300472.71637,-89.2129719,9.5857363,2.777661099443277,13.06890689068907,26.66686668666867,spinel
18.6704,1.620324,0.426752,3.41735,23.338,27.6722,150.3634,36.64621666666666,30.006,23.1713,126.0252,1484.9636,24.0048,19.1705,39.98021666666667,-558686.58164,-104.4770579,11.9875637,3.138888888888889,4.666666666666666,23.83333333333333,spinel
22.4,1.67,0.512,3.44,28.0,32.2,152.0,42.36000000000001,36.0,27.8,128.4,1781.6,28.8,16.4,48.32000000000001,-380885.64,-109.7254,4.8186,2.666666666666667,6.0,27.2,spinel
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
29.4784,1.636681,0.673792,4.52704,35.532,40.0064,155.279,35.92088333333333,47.376,33.1632,125.2802,2344.5856,3.508,20.171,40.26305,-395370.70106,-101.5896728,12.6131894,2.8683,7.3696,25.6317,spinel
18.944,1.5463,0.462,4.305,31.5,34.86,155.08,43.698,35.7,29.19,131.49,1653.54,30.24,24.15,48.98599999999999,-473362.8689999999,-115.21167,15.10131,3.12,5.46,22.91,spinel
10.46719,1.643757,1.46674,9.20046,93.338,104.0052,150.2934,37.29863333333333,113.339,83.33749999999999,125.8745,5249.5958,6.667,54.6694,40.19456666666667,-1101074.98433,-365.7696208999999,16.0628031,2.4375,17.3342,25.6253,spinel
10.46719,1.646707,1.46674,9.20046,93.338,104.0052,150.7584,37.2728,113.339,83.33749999999999,125.7095,5249.5958,6.667,54.6694,40.22456666666667,-1101074.98433,-365.7696208999999,16.0628031,2.435,17.3342,25.7303,spinel
10.46719,1.648999,1.46674,9.20046,93.338,104.0052,151.0954,37.26273333333333,113.339,83.33749999999999,125.6253,5249.5958,6.667,54.6694,40.25236666666666,-1101074.98433,-365.7696208999999,16.0628031,2.433313337332534,17.33073385322935,25.7999400119976,spinel
10.46562,1.651937,1.46652,9.19908,93.324,103.9896,151.5809,37.22675,113.322,83.325,125.4173,5248.8084,6.665999999999999,54.6612,40.2776,-1100909.83134,-365.7147581999999,16.0603938,2.43055,17.3316,25.9163,spinel
25.0,1.1,0.142,4.6,92.5,115.5,219.3,36.93333333333334,20.0,16.2,58.5,2622.0,45.0,6.9,45.48333333333334,-1651381.45,-322.975,23.594,3.25,31.5,57.8,fluorite
22.4,1.642,0.446,4.100000000000001,28.0,33.2,154.8,43.76000000000001,36.0,27.8,128.6,1781.6,28.8,23.0,48.52,-450821.78,-109.7254,14.3822,3.066666666666666,6.0,26.6,spinel
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32000000000001,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
22.4,1.556,0.4400000000000001,4.100000000000001,30.0,33.2,155.4,43.76000000000001,36.0,27.8,128.4,1781.6,28.8,23.0,49.0,-450821.78,-109.7254,14.3822,3.066666666666666,5.600000000000001,23.0,spinel
23.68,1.538,0.4400000000000001,3.74,30.0,35.2,154.2,42.68000000000001,36.0,27.6,130.0,1784.0,8.0,16.4,48.76000000000001,-330305.98,-109.7254,4.8186,2.5,5.800000000000001,23.4,spinel
23.68,1.52,0.446,3.74,30.0,35.2,152.8,41.44000000000001,34.0,27.6,132.0,1784.0,8.0,16.4,48.72000000000001,-330305.98,-109.7254,4.8186,2.5,6.0,23.8,spinel
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
12.86,1.546,0.512,4.100000000000001,30.0,33.2,156.0,42.52,36.0,27.8,129.4,1780.0,28.8,23.0,49.0,-450821.78,-109.7254,14.3822,3.166666666666667,5.4,22.8,spinel
22.4,1.556,0.4400000000000001,4.100000000000001,30.0,33.2,155.4,43.76000000000001,36.0,27.8,128.4,1781.6,28.8,23.0,49.0,-450821.78,-109.7254,14.3822,3.066666666666666,5.600000000000001,23.0,spinel
24.0,1.37,0.22,3.1,97.5,16.6,77.7,34.91666666666666,18.0,84.5,149.5,3073.0,30.75,11.5,45.03333333333333,-1793682.4,-293.9765,10.684,3.033333333333334,28.5,41.7,perovskite
24.0,1.318,0.22,3.1,97.5,16.6,77.7,34.4,18.0,84.5,148.7,3073.0,30.75,11.5,45.25,-1793682.4,-293.9765,10.684,3.033333333333334,28.5,40.0,perovskite
24.0,1.361,0.223,3.1,97.5,16.6,77.4,34.4,18.0,84.5,148.8,3073.0,30.75,11.5,45.05,-1793682.4,-293.9765,10.684,3.033333333333334,28.5,41.8,perovskite
5.0,1.156,0.0,12.75,77.5,104.0,172.6,32.33333333333334,55.0,75.0,91.9,6655.0,17.0,15.0,45.28333333333334,-572366.15,-94.618,3.8247,3.55,36.0,65.8,pyrochlore
9.12,1.385,1.1,6.6,70.0,80.5,160.8,32.25,60.0,69.5,137.6,3735.0,72.0,1.5,39.35,-952214.1,-255.728,11.4865,3.466666666666667,12.5,38.2,perovskite
10.73,1.157,0.34,4.0,107.5,126.5,219.8,34.95,17.0,99.0,170.2,1755.0,17.0,4.4,46.06666666666666,-548095.7,-92.897,4.49925,2.766666666666667,28.0,50.50000000000001,perovskite
8.61,1.14,0.36,4.0,100.0,109.5,205.4,36.08333333333334,17.0,96.0,165.6,1331.0,6.75,4.7,44.48333333333334,-592028.7,-102.6665,3.9707,3.2,19.0,38.8,perovskite
8.61,1.14,0.36,4.0,100.0,109.5,205.4,36.08333333333334,17.0,96.0,165.6,1331.0,6.75,4.7,44.48333333333334,-592028.7,-102.6665,3.9707,3.2,19.0,38.8,multiphase
10.46719,1.652331,1.46674,9.20046,93.338,104.0052,154.3184,44.36265999999999,113.339,83.33749999999999,126.4036,5249.5958,11.9952,54.6694,48.59519999999999,-1101074.98433,-365.7696208999999,16.0628031,2.569423609027569,17.33593359335934,26.4998499849985,spinel
13.7136,1.13012,0.185705,3.64395,55.7115,60.5684,119.729,38.80388000000001,15.719,48.2833,137.1509,1901.999,17.57055,7.4282,55.40516,-1088687.53433,-170.2840568,6.1048376,3.357214278572143,16.28327167283271,51.71502849715029,fluorite
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32000000000001,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
12.86,1.538,0.446,4.100000000000001,30.0,33.2,154.0,42.52,34.0,27.8,130.4,1574.8,28.8,23.0,48.96,-450821.78,-109.7254,14.3822,3.066666666666666,6.0,23.4,spinel
10.46719,1.632991,1.46674,9.20046,93.338,104.0052,152.8963,36.91811666666666,113.339,83.33749999999999,126.4257,5249.5958,6.667,54.6694,40.5414,-1101074.98433,-365.7696208999999,16.0628031,2.366626674665067,17.33073385322935,25.73325334933013,spinel
14.38,1.56,0.512,7.2,29.0,38.0,165.0,43.92,46.0,29.0,132.4,2056.0,28.8,23.0,48.76000000000001,-450821.78,-109.7254,14.3822,3.766666666666667,8.4,28.8,spinel
10.0,1.086,0.13,3.98,39.0,47.6,179.6,38.92,8.8,33.8,66.2,1813.2,18.8,5.600000000000001,56.52,-762119.38,-119.2864,7.2152,3.0,14.0,59.2,others
25.0,1.083,0.065,2.75,92.5,23.8,89.80000000000001,32.38333333333333,11.0,16.9,33.1,3344.5,37.0,7.0,47.55,-544961.1,-106.0585,3.6076,3.25,29.0,58.6,fluorite
18.6704,1.356938,0.371741,2.86724,33.34,36.50729999999999,160.1987,34.92364999999999,30.006,32.0064,139.6946,1484.9636,2.25045,22.0044,40.95263333333332,-211738.10582,-36.0913835,1.42948584,2.0,6.333333333333333,22.0,spinel
25.1717,1.603304,0.426752,4.3342,23.338,30.006,163.5029,35.9997,53.34399999999999,22.8379,127.0012,3775.755,2.11709,35.007,40.11113333333333,-375759.9536299999,-91.4561209,11.9875637,3.08355,12.8359,37.66859999999999,others
23.68,1.618,0.512,3.44,30.0,30.4,146.6,41.28000000000001,36.0,27.6,129.2,1784.0,1.44,15.2,48.32,-240601.72,-77.1958,1.71504,2.1,6.0,25.2,rock salt
25.3008,1.652217,0.47616,4.155349999999999,30.4965,33.6591,156.6487,43.86272,40.662,27.3339,127.3394,2012.3172,27.2736,23.3105,48.5489,-456907.8740299999,-109.3169208,14.5763597,3.139683333333333,6.3252,26.043,spinel
10.73,1.145,0.34,4.0,107.5,126.5,221.2,34.36666666666667,11.0,99.0,172.7,1755.0,17.0,4.4,46.38333333333333,-548095.7,-92.897,4.49925,2.566666666666666,28.0,50.3,perovskite
10.73,1.157,0.34,4.0,107.5,126.5,219.8,34.95,17.0,99.0,170.2,1755.0,17.0,4.4,46.06666666666667,-548095.7,-92.897,4.49925,2.766666666666667,28.0,50.50000000000001,perovskite
10.73,1.167,0.34,4.0,107.5,126.5,220.0,34.95,20.0,99.0,170.3,1755.0,17.0,6.9,46.08333333333334,-548095.7,-92.897,4.49925,2.766666666666667,28.0,53.7,perovskite
10.73,1.179,0.34,4.0,107.5,126.5,217.1,34.95,16.0,99.0,169.0,1755.0,17.0,4.7,45.83333333333334,-548095.7,-92.897,4.49925,2.766666666666667,28.0,48.7,perovskite
10.73,1.164,0.34,4.0,107.5,126.5,219.0,34.95,23.0,99.0,171.0,1755.0,17.0,4.4,45.88333333333333,-548095.7,-92.897,4.49925,2.766666666666667,28.0,50.60000000000001,perovskite
10.73,1.174,0.34,4.0,107.5,126.5,219.3,34.95,31.0,99.0,171.1,1925.0,17.0,16.1,45.95,-548095.7,-92.897,4.49925,2.766666666666667,28.0,53.8,perovskite
10.0,1.082,0.13,2.28,39.0,49.40000000000001,139.4,37.68000000000001,8.200000000000001,33.8,66.2,1470.6,18.8,5.2,57.6,-762119.38,-119.8624,7.6494,3.100000000000001,12.4,55.0,fluorite
9.12,1.2235,0.4905,8.415,63.0,79.2,189.0,27.25,49.5,61.2,154.45,2028.15,18.0,19.8,33.34285714285715,-425137.005,-83.39985,3.6542,3.05,9.9,32.75,perovskite
22.4,1.654,0.512,4.100000000000001,28.0,33.2,154.0,42.36000000000001,36.0,27.8,128.8,1781.6,28.8,23.0,48.36,-450821.78,-107.8608,14.3822,3.066666666666666,6.0,26.8,spinel
23.68,1.688,0.512,3.44,28.0,32.2,152.6,43.60000000000001,36.0,27.8,129.8,1784.0,28.8,16.4,48.28,-380885.64,-109.7254,4.8186,2.666666666666667,5.800000000000001,27.0,rock salt
17.3264,1.66568,0.69632,4.406400000000001,38.08000000000001,43.792,154.616,43.096,48.96,37.808,129.908,2420.8,39.16800000000001,22.304,48.4528,-518004.4704,-149.226544,6.553296,2.906666666666667,7.344,26.46,spinel
22.4,1.616,0.512,4.100000000000001,28.0,33.2,149.2,43.60000000000001,36.0,27.8,126.2,1781.6,28.8,23.0,47.8,-670289.8400000001,-125.3474,14.3822,3.266666666666667,5.600000000000001,23.4,spinel
9.12,1.426,1.1,6.9,70.0,78.0,158.8,32.21666666666667,85.0,62.5,110.2,3937.0,13.0,41.0,39.35,-825764.95,-274.3135,12.0465,2.75,13.0,44.0,perovskite
9.12,1.422,1.0725,6.7275,68.25,76.05,159.05,27.55178571428572,82.875,60.9375,110.3375,3838.575,13.0,39.975,33.73214285714285,-805120.8262499999,-267.4556625,11.7453375,2.76875,12.675,43.95,perovskite
9.12,1.418,1.045,6.555,66.5,74.1,159.3,27.48928571428571,80.75,59.375,110.475,3740.15,13.0,38.95,33.73571428571429,-784476.7024999999,-260.5978249999999,11.444175,2.7875,12.35,43.9,perovskite
9.12,1.414,1.0175,6.3825,64.75,72.15,159.55,27.42678571428572,78.625,57.8125,110.6125,3641.725,13.0,37.925,33.73928571428571,-763832.57875,-253.7399875,11.1430125,2.80625,12.025,43.85,perovskite
25.0,1.079,0.065,2.75,92.5,23.8,87.8,32.38333333333333,11.0,16.9,33.1,3344.5,37.0,7.0,47.81666666666666,-544961.1,-106.0585,3.6076,3.25,29.0,57.8,fluorite
25.0,1.086,0.065,2.75,92.5,22.2,85.7,32.85,11.0,16.9,49.1,3344.5,37.0,7.0,47.41666666666666,-544961.1,-106.0585,3.6076,3.25,29.0,58.7,fluorite
10.0,1.222,0.342,5.100000000000001,37.0,42.40000000000001,148.8,40.04000000000001,22.0,32.4,115.6,2662.0,14.8,6.600000000000001,51.72000000000001,-762119.38,-125.3474,2.5426,3.5,14.4,44.4,fluorite
22.4,1.532,0.512,3.44,29.0,33.4,157.0,43.76000000000001,36.0,27.8,129.0,1781.6,28.8,16.4,47.24,-380885.64,-109.7254,4.8186,2.466666666666667,5.600000000000001,21.8,spinel
22.4,1.678,0.484,4.100000000000001,28.0,33.2,150.8,37.16,36.0,27.8,128.8,1781.6,28.8,23.0,48.04000000000001,-450821.78,-121.7122,14.3822,3.166666666666667,6.2,27.6,spinel
22.4,1.65,0.512,4.100000000000001,28.0,33.2,156.8,43.76000000000001,36.0,27.8,127.6,1781.6,28.8,23.0,48.56,-450821.78,-109.7254,14.3822,3.166666666666667,5.600000000000001,26.0,spinel
10.42946,1.568372,0.41472,3.3251,22.708,28.5472,153.4294,27.17731428571429,29.16,22.0592,128.2684,1441.8,6.488,18.653,34.34334285714286,-543605.06024,-101.6567414,11.6639642,3.2164,5.0282,24.7012,others
9.88934,1.537231,0.393728,3.1529,21.532,27.0688,158.4909,27.4533,27.684,20.9168,131.8066,1368.82,6.151999999999999,17.687,34.79175714285714,-515452.88696,-96.3921506,11.0599118,3.153846153846154,4.769230769230769,26.30769230769231,others
9.90379,1.594774,1.0153,6.3687,64.61,71.994,157.6288,28.86078571428571,78.455,57.6875,131.8011,3633.851,4.615,37.843,35.02712857142857,-762181.04885,-253.1913605,11.1189195,2.569240257359069,12.000200020002,29.69186918691869,others
19.73728,1.68367,0.426752,2.86724,23.338,26.8387,150.8635,35.67379999999999,30.006,23.1713,130.026,1486.964,24.0048,13.6694,40.17469999999999,-317468.18094,-91.4561209,4.0163031,2.555555555555555,5.0,27.5,spinel
